model	module	reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
v1_14_candidate_n2	phb	rxn15455_c0	n (R)-3-Hydroxybutanoyl-CoA <-> Poly-beta-hydroxybutyrate + n CoA	-1000.0	1000.0	cpd02234[c0] <=> cpd00010[c0] + cpd12836[c0]	TX73_RS12925 or TX73_RS21985	False
v1_14_candidate_n2	cbb_rubisco	rxn00018_c0	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00011[c0] + cpd00871[c0] --> 2.0 cpd00067[c0] + 2.0 cpd00169[c0]	TX73_RS08010 and TX73_RS08015	False
v1_14_candidate_n2	cbb_rubisco	rxn01111_c0	ATP:D-ribulose-5-phosphate 1-phosphotransferase_c0	0.0	1000.0	cpd00002[c0] + cpd00171[c0] --> cpd00008[c0] + cpd00067[c0] + cpd00871[c0]	TX73_RS24115	False
v1_14_candidate_n2	ferredoxin	rxn07189_c0	arbon-monoxide,water:ferredoxin oxidoreductase_c0	-1000.0	1000.0	cpd00001[c0] + cpd00204[c0] + cpd11621[c0] <=> cpd00011[c0] + 3.0 cpd00067[c0] + cpd11620[c0]		False
v1_14_candidate_n2	ferredoxin	rxn14159_c0	Ferredoxin:NADP+ oxidoreductase_c0	-1000.0	0.0	cpd00006[c0] + cpd00067[c0] + 2.0 cpd11620[c0] <-- cpd00005[c0] + 2.0 cpd11621[c0]	TX73_RS08105	False
v1_14_candidate_n2	h2	rxn06790_c0	zeta-Carotene, hydrogen-donor:oxygen oxidoreductase_c0	0.0	1000.0	cpd00004[c0] + cpd00007[c0] + cpd00067[c0] + cpd03215[c0] --> 2.0 cpd00001[c0] + cpd00003[c0] + cpd03216[c0]	TX73_RS07770	False
v1_14_candidate_n2	h2	rxn06792_c0	Neurosporene, hydrogen-donor:oxygen oxidoreductase_c0	0.0	1000.0	cpd00004[c0] + cpd00007[c0] + cpd00067[c0] + cpd03216[c0] --> 2.0 cpd00001[c0] + cpd00003[c0] + cpd03217[c0]	TX73_RS07770	False
v1_14_candidate_n2	ferredoxin	rxn06926_c0	reduced ferredoxin:acetylene oxidoreductase (ATP-hydrolysing)_c0	-1000.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00067[c0] + cpd01090[c0] + cpd11620[c0] <=> cpd00008[c0] + cpd00009[c0] + cpd03956[c0] + cpd11621[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07080 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07375 and TX73_RS07370)	False
v1_14_candidate_n2	h2	rxn06790_LN_c0	zeta-Carotene, hydrogen-donor:oxygen oxidoreductase_LN_c0	0.0	1000.0	cpd00003[c0] + cpd03215[c0] --> cpd00004[c0] + cpd00067[c0] + cpd03216[c0]		False
v1_14_candidate_n2	h2	rxn06792_LN_c0	Neurosporene, hydrogen-donor:oxygen oxidoreductase_LN_c0	0.0	1000.0	cpd00003[c0] + cpd03216[c0] --> cpd00004[c0] + cpd00067[c0] + cpd03217[c0]		False
v1_14_candidate_n2	h2	rxn00566_c0	L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00084[c0] --> cpd00013[c0] + cpd00020[c0] + cpd00067[c0] + cpd00239[c0]	TX73_RS12185	False
v1_14_candidate_n2	h2	rxn00649_c0	O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase_c0	0.0	1000.0	cpd00239[c0] + cpd00722[c0] --> cpd00029[c0] + cpd00084[c0]	TX73_RS02885	False
v1_14_candidate_n2	h2	rxn00952_c0	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	0.0	1000.0	cpd00239[c0] + cpd00790[c0] --> cpd00029[c0] + cpd00135[c0]	TX73_RS08060 or TX73_RS14315	False
v1_14_candidate_n2	h2	rxn05957_c0	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	0.0	1000.0	cpd00239[c0] + cpd00822[c0] --> cpd00036[c0] + cpd00135[c0]	TX73_RS24775	False
v1_14_candidate_n2	phb	rxn01451_c0	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase_c0	-1000.0	1000.0	cpd00003[c0] + cpd00842[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd00279[c0]	TX73_RS04220 or TX73_RS19255	False
